id_mmpp,Plazo de entrega,Stock de seguridad
106_mmpp_115,0,0.0
106_mmpp_119,4,0.0
106_mmpp_135,25,0.0
106_mmpp_142,4,1000.0
106_mmpp_175,15,0.0
106_mmpp_31,0,0.0
106_mmpp_503,30,0.0
106_mmpp_51,14,0.0
106_mmpp_518,35,10000.0
110_mmpp_141,10,0.0
110_mmpp_145,7,3000.0
110_mmpp_146,7,3000.0
110_mmpp_147,7,0.0
110_mmpp_348,10,0.0
110_mmpp_373,10,1000.0
110_mmpp_374,10,1000.0
110_mmpp_393,90,0.0
110_mmpp_40,15,250.0
110_mmpp_41,15,250.0
110_mmpp_82,20,50.0
115_mmpp_135,25,0.0
115_mmpp_137,15,0.0
115_mmpp_142,4,0.0
115_mmpp_175,7,0.0
115_mmpp_177,10,0.0
115_mmpp_178,7,3000.0
115_mmpp_345,30,180.0
115_mmpp_352,30,5000.0
115_mmpp_354,30,24500.0
115_mmpp_360,21,8500.0
115_mmpp_361,30,20000.0
115_mmpp_366,21,15000.0
115_mmpp_367,12,10000.0
115_mmpp_372,35,500.0
115_mmpp_381,35,0.0
115_mmpp_388,35,500.0
115_mmpp_398,15,0.0
115_mmpp_44,10,0.0
115_mmpp_51,20,0.0
115_mmpp_78,20,144.0
115_mmpp_94,30,0.0
115_mmpp_95,21,20000.0
115_mmpp_97,21,0.0
134_mmpp_135,25,700.0
134_mmpp_137,0,0.0
134_mmpp_177,2,1000.0
134_mmpp_372,35,500.0
134_mmpp_384,35,6000.0
134_mmpp_388,25,3.0
143_mmpp_135,25,0.0
143_mmpp_136,20,0.0
143_mmpp_137,0,0.0
143_mmpp_142,4,0.0
143_mmpp_175,7,3000.0
143_mmpp_177,10,1000.0
143_mmpp_178,7,3000.0
143_mmpp_345,30,90.0
143_mmpp_372,35,500.0
143_mmpp_388,25,3.0
143_mmpp_44,10,0.0
143_mmpp_45,20,0.0
143_mmpp_51,0,0.0
143_mmpp_97,15,0.0
16_mmpp_135,25,700.0
16_mmpp_142,4,1000.0
16_mmpp_175,7,0.0
16_mmpp_177,10,0.0
16_mmpp_345,30,180.0
16_mmpp_354,30,0.0
16_mmpp_360,30,8500.0
16_mmpp_361,30,20000.0
16_mmpp_366,21,15000.0
16_mmpp_51,20,500.0
1_mmpp_112,15,0.0
1_mmpp_123,30,15000.0
1_mmpp_124,15,7000.0
1_mmpp_134,15,0.0
1_mmpp_143,10,0.0
1_mmpp_145,0,0.0
